Feature,Mean_Absolute_SHAP
turnaround_wind_interaction,0.55709
scheduled_dep_hour,0.35321
turnaround_buffer_mins,0.27871
carrier_route_historical_risk,0.26131
distance_miles,0.08938
aircraft_age,0.05315
month,0.04918
forecast_wind_speed,0.04747
route_network_centrality_index,0.04719
forecast_temp,0.04386
day_of_week,0.04158
carrier_30day_delay_rate,0.02857
is_peak_afternoon_bank,0.02444
origin_pagerank,0.02195
dest_pagerank,0.02043
origin_hourly_traffic,0.01976
destination_airport_BOS,0.01347
origin_airport_SEA,0.00995
forecast_precip,0.00922
airline_code_F9,0.00921
airline_code_AA,0.00724
origin_airport_JFK,0.0072
destination_airport_DFW,0.00719
airline_code_WN,0.00671
destination_airport_JFK,0.00664
destination_airport_LAX,0.00652
origin_airport_MIA,0.00643
airline_code_B6,0.00631
destination_airport_SEA,0.00606
is_holiday,0.00591
origin_airport_LAX,0.00589
origin_airport_BOS,0.00574
destination_airport_DEN,0.00573
destination_airport_MIA,0.00568
forecast_visibility,0.00557
airline_code_AS,0.00548
airline_code_NK,0.00503
origin_airport_DFW,0.0046
destination_airport_ORD,0.00436
origin_airport_DEN,0.00424
origin_airport_ORD,0.004
is_weekend,0.00365
airline_code_UA,0.00225
origin_airport_ATL,0.002
airline_code_DL,0.00177
destination_airport_ATL,0.00102
origin_airport_SFO,0.00099
destination_airport_SFO,0.00097
congestion_weather_index,0.00096
origin_betweenness_centrality,0.0
is_bad_weather,0.0
